,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,UrlFotoParlamentar,EmailParlamentar,NumeroTelefone,SiglaPartidoParlamentar,UfParlamentar,CodigoBloco,NomeBloco,UfMandatoParlamentar,NumeroPrimeiraLegislatura,DataInicioPrimeiraLegislatura,DataFimPrimeiraLegislatura,NumeroSegundaLegislatura,DataInicioSegundaLegislatura,DataFimSegundaLegislatura,DescricaoParticipacao,1º Suplente,2º Suplente
0,Alan Rick,Alan Rick Miranda,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,sen.alanrick@senado.leg.br,,UNIÃO,AC,336,Bloco Parlamentar Democracia,AC,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Gemil Junior,Coronel Casagrande
1,Alessandro Vieira,Alessandro Vieira,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,sen.alessandrovieira@senado.leg.br,,PSDB,SE,336,Bloco Parlamentar Democracia,SE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Fernando Carvalho,Major Ildomario
2,Ana Paula Lobato,Ana Paula Dias Lobato Nova Alves,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg,sen.anapaulalobato@senado.leg.br,,PSB,MA,335,Bloco Parlamentar da Resistência Democrática,MA,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,1º Suplente,Lourdinha,
3,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,sen.angelocoronel@senado.leg.br,,PSD,BA,335,Bloco Parlamentar da Resistência Democrática,BA,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Davidson Magalhães,Silvia Nascimento Cardoso dos Santos Cerqueira
4,Astronauta Marcos Pontes,Marcos Cesar Pontes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,sen.astronautamarcospontes@senado.leg.br,,PL,SP,338,Bloco Parlamentar Vanguarda,SP,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Professor Alberto,Sirlange Manga
5,Augusta Brito,Augusta Brito de Paula,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg,sen.augustabrito@senado.leg.br,,PT,CE,335,Bloco Parlamentar da Resistência Democrática,CE,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,1º Suplente,Janaina Farias,
6,Beto Faro,José Roberto Oliveira Faro,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,sen.betofaro@senado.leg.br,,PT,PA,335,Bloco Parlamentar da Resistência Democrática,PA,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Josenir,Leny Campêlo
7,Carlos Portinho,Carlos Francisco Portinho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,sen.carlosportinho@senado.leg.br,,PL,RJ,338,Bloco Parlamentar Vanguarda,RJ,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,Renata Guerra,
8,Carlos Viana,Carlos Alberto Dias Viana,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,sen.carlosviana@senado.leg.br,,PODEMOS,MG,336,Bloco Parlamentar Democracia,MG,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Castellar Guimarães Neto,Danilo Martins de Oliveira
9,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,sen.chicorodrigues@senado.leg.br,,PSB,RR,335,Bloco Parlamentar da Resistência Democrática,RR,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Pedro Arthur,Onésimo Cruz
10,Cid Gomes,Cid Ferreira Gomes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,sen.cidgomes@senado.leg.br,,PDT,CE,336,Bloco Parlamentar Democracia,CE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Prisco Bezerra,Julio Ventura
11,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,sen.cironogueira@senado.leg.br,,PP,PI,338,Bloco Parlamentar Vanguarda,PI,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Eliane Nogueira,Gil Paraibano
12,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,sen.cleitinho@senado.leg.br,,REPUBLICANOS,MG,338,Bloco Parlamentar Vanguarda,MG,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Alex Diniz,Wander de Souza
13,Confúcio Moura,Confúcio Aires Moura,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,sen.confuciomoura@senado.leg.br,,MDB,RO,336,Bloco Parlamentar Democracia,RO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Maria Eliza,Carlos Milton Morais
14,Damares Alves,Damares Regina Alves,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,sen.damaresalves@senado.leg.br,,REPUBLICANOS,DF,338,Bloco Parlamentar Vanguarda,DF,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Manoel Arruda,Pastor Egmar
15,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,sen.daniellaribeiro@senado.leg.br,,PSD,PB,335,Bloco Parlamentar da Resistência Democrática,PB,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Diego Tavares,Nailde Panta
16,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,sen.davialcolumbre@senado.leg.br,,UNIÃO,AP,336,Bloco Parlamentar Democracia,AP,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Josiel,Breno
17,Dr. Hiran,Hiran Manuel Gonçalves da Silva,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,sen.drhiran@senado.leg.br,,PP,RR,338,Bloco Parlamentar Vanguarda,RR,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Jr Rodrigues,Aline Rezende
18,Dr. Samuel Araújo,Samuel Pereira de Araujo,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6021.jpg,sen.drsamuelaraújo@senado.leg.br,,PSD,RO,335,Bloco Parlamentar da Resistência Democrática,RO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,Pastor Severino,
19,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,sen.eduardobraga@senado.leg.br,,MDB,AM,336,Bloco Parlamentar Democracia,AM,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Sandra Braga,Miguel Biango
